"시설번호","년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","선풍기보유대수","에어컨보유대수","야간개방","휴일개방","숙박가능여부","입력시간","수정시간","사용여부","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"11290135","2022","1129066000","001","길음뉴타운7단지제2경로당","서울특별시 성북구 길음로13길 22","1285-0","78","23","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.018993","37.608800","201677.006976","556579.798530"
"11290136","2022","1129066000","001","길음삼부(아)","서울특별시 성북구 동소문로 248","1276-0","86","26","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.023062","37.602557","202036.510587","555886.963392"
"1174000261","2022","1174052600","001","강동리엔9단지 경로당","서울특별시 강동구 고덕로98길 29 (상일동 강동리엔파크9단지)","554-15","100","30","1","1","N","N","N","2022-06-23 10:53:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.180460","37.557000","215945.124795","550845.725653"
"11740168","2022","1174062000","001","천호태영A제1경로당","서울특별시 강동구 천호대로 1055","566-0","55","10","1","1","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.130231","37.538331","211509.882800","548766.355751"
"11740169","2022","1174064000","001","성내1동경로당","서울특별시 강동구 성내로3가길 71  구립성내1동경로당 (성내동)","533","185","90","2","2","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.126538","37.529452","211184.802736","547780.405530"
"11740170","2022","1174064000","001","성내천경로당","서울특별시 강동구 성안로3길 112-9","558-8","46","20","2","1","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.124039","37.528514","210963.998491","547676.004805"
"11740171","2022","1174064000","001","성내삼성아파트목련경로당","서울특별시 강동구 풍성로 127  104-206 (성내동 성내동삼성아파트)","591","198","29","2","2","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.126230","37.532072","211157.196889","548071.201094"
"11740105","2022","1174058000","001","암사2동제2경로당","서울특별시 강동구 상암로 12-19 11 (암사동)","515","111","28","2","1","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.125545","37.550021","211094.000433","550063.208216"
"11740106","2022","1174058000","001","선사현대아파트경로당","서울특별시 강동구 상암로 11  113-401 (암사동 선사현대아파트)","509","270","56","5","1","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.125660","37.553444","211103.601643","550443.200516"
"11740110","2022","1174058000","001","삼성광나루A경로당","서울특별시 강동구 상암로3길 77","508-0","98","12","1","2","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.127362","37.554149","211253.923830","550521.660687"
"11740111","2022","1174059000","001","구암경로당","서울특별시 강동구 고덕로 81","446-25","176","49","3","1","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.134494","37.554945","211884.001377","550610.807314"
"11740112","2022","1174059000","001","양지마을경로당","서울특별시 강동구 아리수로25길 58","275-3","66","23","2","2","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.136671","37.559408","212075.598193","551106.402824"
"11740173","2022","1174064000","001","성안마을청구아파트경로당","서울특별시 강동구 풍성로 116","295-0","28","24","2","1","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.124963","37.531890","211045.201260","548050.807338"
"11740179","2022","1174064000","001","올림픽파크한양수자인경로당","서울특별시 강동구 성내로 80","606-0","90","34","3","1","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.127964","37.527180","211311.199878","547528.401052"
"11740172","2022","1174064000","001","성내삼성아파트경로당","서울특별시 강동구 풍성로 128  201-902 (성내동 성내동삼성아파트)","590","82","24","2","2","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.125982","37.529942","211135.602203","547834.801229"
"1147000616","2022","1147054000","099","미감도서관","서울특별시 양천구 목동중앙남로 57-10","723-8","267","18","4","3","N","Y","N","2021-08-02 11:17:30","2022-07-28 16:22:24","Y","","20220520","20220930","126.865461","37.538976","188109.548122","548838.523218"
"11290137","2022","1129066000","001","길음뉴타운 대림(아) 경로당","서울특별시 성북구 길음로 118","1281-0","259","20","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.018408","37.612333","201625.267519","556971.946104"
"11290139","2022","1129066000","001","래미안길음1차(아)경로당","서울특별시 성북구 길음로9길 40","1279-0","155","25","2","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.019778","37.606193","201746.372238","556290.431052"
"11290140","2022","1129066000","001","길음동돌산경로당","서울특별시 성북구 길음로 135-11","1271-304","61","27","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.015415","37.613243","201361.008219","557072.887544"
"11290141","2022","1129066000","001","래미안길음2차(아)경로당","서울특별시 성북구 길음로 74","1282-0","77","30","2","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.020923","37.610444","201847.379485","556762.345239"
"11290142","2022","1129066000","001","송매골(아)경로당","서울특별시 성북구 길음로13길 39","1280-1","125","70","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.016288","37.610047","201438.148450","556718.145964"
"11290158","2022","1129070500","001","종암1동현대아이파크경로당","서울특별시 성북구 종암로21길 127","130-0","81","22","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.029407","37.602754","202596.724314","555908.951442"
"11290159","2022","1129070500","001","종암2동SK(아)제2경로당","서울특별시 성북구 종암로24가길 53","104-1","118","22","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.037147","37.600197","203280.319401","555625.450396"
"11290160","2022","1129070500","001","종암래미안(아)경로당","서울특별시 성북구 종암로25길 30","80-0","146","16","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.029703","37.601133","202622.989889","555729.057683"
"11290161","2022","1129070500","001","종암선경(아)경로당","서울특별시 성북구 종암로5길 26","34-3","50","36","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.033917","37.594488","202995.377963","554991.651503"
"11290162","2022","1129070500","001","중앙경로당","서울특별시 성북구 종암로22길 29","3-186","50","30","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.035723","37.600094","203154.636184","555613.936472"
"11290163","2022","1129070500","001","종암동제1경로당","서울특별시 성북구 종암로21길 81-26","79-94","117","32","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.031122","37.601816","202748.235706","555804.970304"
"11740167","2022","1174062000","001","구사거리경로당","서울특별시 강동구 천호대로161길 21","452-72","50","7","1","1","N","N","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.128940","37.538254","211395.777852","548757.685728"
"11740166","2022","1174062000","001","래미안강동팰리스경로당","서울특별시 강동구 천호대로 1077","571-0","186","46","0","4","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.132503","37.537143","211710.797903","548634.771531"
"11740158","2022","1174062000","001","천삼경로당","서울특별시 강동구 진황도로 13 (천호동)","551-9","89","34","2","1","N","Y","N","2021-04-05 13:29:10","2022-06-30 16:08:38","Y","","20220520","20220930","127.129217","37.539904","211419.998792","548940.804871"
